COMUNE,POPOLAZIONE 1/1/2019,SUPERFICIE 1/1/2019,COD_CAT,INDICE D (QUINTILI),INDICE P (QUINTILI),INDICE T (QUINTILI),INDICE DI SINTESI (QUINTILI)
Borgo San Dalmazzo,"12,442",22.34,P,D2,P4,T4,S4
Bosia,180,5.54,P,D4,P2,T1,S2
Bossolasco,638,14.55,E,D4,P2,T4,S3
Boves,"9,818",50.95,P,D2,P4,T4,S3
Bra,"29,656",59.53,B,D4,P5,T5,S5
Briaglia,307,6.24,P,D2,P3,T5,S4
Briga Alta,40,52.18,E,D5,P1,T1,S5
Brondello,282,10.12,Q,,,,
Brossasco,"1,048",28.06,Q,,,,
Busca,"10,174",76.76,P,D3,P3,T1,S2
Camerana,594,23.64,P,D4,P1,T1,S1
Canale,"5,609",17.87,P,D3,P4,T1,S2
Canosio,82,48.45,E,D5,P4,T5,S5
Caprauna,97,11.50,P,D4,P1,T1,S1
Caraglio,"6,757",41.68,P,D2,P3,T4,S2
Caramagna Piemonte,"3,090",26.33,P,D1,P5,T1,S3
Cardè,"1,147",19.30,Q,,,,
Carrù,"4,386",25.84,P,D2,P4,T2,S3
Cartignano,174,6.42,Q,,,,
Casalgrasso,"1,438",17.81,P,D1,P4,T1,S2
Castagnito,"2,194",7.11,P,D4,P4,T4,S4
Casteldelfino,158,33.95,E,D5,P2,T5,S5
Castelletto Stura,"1,380",17.13,P,D1,P1,T1,S1
Castelletto Uzzone,314,14.86,P,D3,P2,T1,S1
Castellinaldo d'Alba,924,7.80,P,D3,P4,T2,S3
Castellino Tanaro,297,11.52,E,D3,P3,T2,S2
Castelmagno,60,49.31,E,D5,P1,T5,S5
Castelnuovo di Ceva,106,6.26,Q,,,,
Castiglione Falletto,699,4.72,B,D5,P5,T4,S5
Castiglione Tinella,829,11.63,P,D4,P3,T5,S5
Castino,486,15.52,P,D4,P2,T1,S1
Cavallerleone,686,16.44,Q,,,,
Cavallermaggiore,"5,432",51.59,P,D1,P3,T2,S2
Celle di Macra,88,31.11,E,D5,P1,T1,S2
Centallo,"7,018",42.48,P,D1,P3,T2,S2
Ceresole Alba,"2,054",37.05,P,D2,P2,T1,S1
Cerretto Langhe,430,10.14,E,D4,P3,T4,S4
Cervasca,"5,134",18.24,P,D1,P2,T1,S1
Cervere,"2,262",18.60,P,D1,P2,T2,S1
Ceva,"5,697",43.17,P,D2,P5,T2,S3
Cherasco,"9,290",81.54,B,D4,P4,T2,S3
Chiusa di Pesio,"3,650",95.02,B,D5,P2,T4,S4
Cigliè,185,6.12,P,D3,P4,T5,S4
Cissone,86,5.90,E,D5,P3,T4,S5
Clavesana,805,17.15,P,D4,P2,T4,S3
Corneliano d'Alba,"2,146",10.09,P,D2,P2,T4,S2
Cortemilia,"2,271",24.99,P,D4,P3,T1,S2
Cossano Belbo,952,20.54,P,D4,P3,T1,S2
Costigliole Saluzzo,"3,299",15.34,P,D3,P5,T1,S3
Cravanzana,365,8.12,P,D4,P2,T4,S3
Crissolo,165,52.05,E,D5,P2,T5,S5
Cuneo,"56,144",119.67,B,D4,P5,T4,S4
Demonte,"1,959",127.31,E,D5,P3,T2,S3
Diano d'Alba,"3,621",17.54,B,D3,P3,T2,S2
Dogliani,"4,691",35.68,P,D4,P3,T2,S3
Dronero,"7,018",58.96,E,D3,P2,T2,S2
Elva,94,26.22,P,D5,P2,T4,S5
Entracque,859,160.73,E,D5,P3,T5,S5
Envie,"1,989",24.93,Q,,,,
Farigliano,"1,777",16.44,P,D4,P3,T1,S2
Faule,488,7.03,Q,,,,
Feisoglio,305,7.67,P,D3,P1,T2,S1
Fossano,"24,225",130.14,P,D3,P5,T2,S3
Frabosa Soprana,752,47.14,E,D5,P4,T5,S5
Frabosa Sottana,"1,530",37.64,E,D5,P5,T5,S5
Frassino,269,17.01,E,D5,P1,T4,S4
Gaiola,583,4.97,E,D4,P2,T1,S2
Gambasca,350,5.74,Q,,,,
Garessio,"3,056",131.28,P,D3,P2,T1,S1
Genola,"2,653",13.72,Q,,,,
Gorzegno,273,13.97,P,D3,P1,T1,S1
Gottasecca,141,13.68,P,D3,P1,T5,S4
Govone,"2,217",18.91,B,D3,P3,T4,S3
Grinzane Cavour,"2,028",3.81,B,D3,P4,T4,S3
Guarene,"3,592",13.45,B,D4,P5,T4,S4
Igliano,65,3.40,P,D5,P1,T5,S5
Isasca,82,5.08,E,D4,P2,T5,S4
Lagnasco,"1,432",17.71,P,D2,P3,T2,S2
La Morra,"2,769",24.17,B,D5,P4,T4,S5
Lequio Berria,464,11.83,E,D3,P3,T4,S4
Lequio Tanaro,741,12.20,P,D3,P3,T1,S1
Lesegno,829,14.24,P,D1,P2,T1,S1
Levice,210,15.74,P,D4,P3,T4,S4
Limone Piemonte,"1,457",70.81,H,D5,P5,T5,S5
Lisio,188,8.23,Q,,,,
Macra,56,24.66,E,D5,P1,T5,S5
Magliano Alfieri,"2,196",9.50,P,D2,P3,T4,S3
Magliano Alpi,"2,231",33.22,Q,,,,
Mango,"1,318",20.03,P,D4,P3,T2,S2
Manta,"3,786",11.73,B,D3,P4,T2,S3
Marene,"3,323",28.99,Q,,,,
Margarita,"1,440",11.38,Q,,,,
Marmora,61,41.13,E,D5,P5,T5,S5
Marsaglia,222,13.03,E,D5,P2,T5,S4
Martiniana Po,747,13.28,P,D2,P1,T1,S1
Melle,288,27.91,E,D5,P2,T4,S4
Moiola,217,15.07,Q,,,,
Mombarcaro,264,20.51,E,D4,P2,T5,S5
Mombasiglio,610,17.35,P,D1,P2,T1,S1
Monastero di Vasco,"1,291",17.44,Q,,,,
Monasterolo Casotto,84,7.68,Q,,,,
Monasterolo di Savigliano,"1,383",14.91,Q,,,,
Monchiero,578,4.99,P,D5,P4,T4,S4
Mondovì,"22,406",87.05,B,D3,P4,T4,S3
Monesiglio,621,12.93,P,D3,P2,T1,S1
Monforte d'Alba,"1,995",25.27,B,D5,P5,T5,S5
Montà,"4,701",26.82,P,D2,P3,T1,S1
Montaldo di Mondovì,556,23.58,P,D4,P1,T5,S3
Montaldo Roero,846,11.84,P,D1,P1,T4,S3
Montanera,749,11.63,Q,,,,
Montelupo Albese,485,6.43,P,D5,P5,T5,S5
Montemale di Cuneo,229,11.10,Q,,,,
Monterosso Grana,526,42.22,P,D5,P1,T4,S1
Monteu Roero,"1,604",24.70,P,D2,P2,T2,S2
Montezemolo,234,6.94,Q,,,,
Monticello d'Alba,"2,367",10.24,P,D3,P3,T4,S4
Moretta,"4,082",23.99,P,D1,P5,T1,S3
Morozzo,"2,004",22.19,Q,,,,
Murazzano,832,27.68,E,D3,P2,T5,S5
Murello,949,17.33,Q,,,,
Narzole,"3,496",26.18,P,D4,P3,T1,S2
Neive,"3,456",21.30,B,D4,P4,T4,S4
Neviglie,369,7.93,P,D5,P3,T5,S5
Niella Belbo,361,11.52,P,D3,P1,T4,S3
Niella Tanaro,"1,015",15.71,P,D3,P2,T1,S1
Novello,983,11.71,B,D4,P4,T4,S4
Nucetto,410,7.81,Q,,,,
Oncino,78,47.36,Q,,,,
Ormea,"1,587",124.49,E,D5,P2,T5,S5
Ostana,85,14.09,H,D5,P4,T5,S5
Paesana,"2,713",58.27,E,D4,P2,T4,S3
Pagno,560,8.68,P,D3,P1,T4,S1
Pamparato,295,34.51,P,D5,P1,T4,S1
Paroldo,207,12.42,E,D5,P2,T4,S4
Perletto,269,9.89,P,D3,P1,T5,S3
Perlo,114,10.22,Q,,,,
Peveragno,"5,600",67.92,P,D4,P2,T1,S1
Pezzolo Valle Uzzone,343,26.57,P,D2,P1,T5,S4
Pianfei,"2,108",15.31,P,D4,P4,T1,S3
Piasco,"2,738",10.62,P,D1,P3,T1,S1
Pietraporzio,73,55.19,E,D5,P1,T5,S5
Piobesi d'Alba,"1,354",4.03,P,D2,P2,T2,S2
Piozzo,980,14.30,P,D2,P3,T5,S4
Pocapaglia,"3,328",17.48,P,D2,P3,T2,S2
Polonghera,"1,140",10.31,Q,,,,
Pontechianale,163,94.92,H,D5,P3,T5,S5
Pradleves,230,19.29,E,D5,P3,T5,S4
Prazzo,171,52.39,E,D5,P1,T4,S5
Priero,523,20.01,P,D3,P1,T1,S1
Priocca,"1,991",9.03,P,D3,P2,T4,S2
Priola,687,27.38,P,D1,P1,T1,S1
Prunetto,423,14.36,P,D3,P1,T1,S1
Racconigi,"9,940",48.06,B,D1,P1,T4,S1
Revello,"4,273",52.47,P,D2,P4,T2,S3
Rifreddo,"1,044",6.84,P,D1,P2,T2,S1
Rittana,104,11.35,E,D4,P2,T4,S4
Roaschia,107,23.84,E,D4,P1,T1,S1
Roascio,100,6.42,P,D3,P2,T4,S3
Robilante,"2,260",25.00,P,D1,P2,T1,S1
Roburent,491,29.81,E,D5,P2,T5,S5
Roccabruna,"1,552",24.30,E,D3,P4,T2,S3
Rocca Cigliè,134,7.02,P,D4,P1,T5,S3
Rocca de' Baldi,"1,622",26.40,P,D1,P1,T1,S1
Roccaforte Mondovì,"2,143",84.61,F,D5,P5,T4,S5
Roccasparvera,743,11.24,P,D3,P2,T4,S3
Roccavione,"2,653",19.15,P,D1,P1,T1,S1
Rocchetta Belbo,160,4.51,P,D4,P2,T1,S1
Roddi,"1,630",9.35,P,D4,P3,T1,S2
Roddino,413,10.58,E,D4,P2,T5,S4
Rodello,957,8.90,P,D2,P3,T1,S1
Rossana,866,19.92,P,D2,P1,T1,S1
Ruffia,363,7.51,P,D2,P4,T4,S3
Sale delle Langhe,507,10.51,Q,,,,
Sale San Giovanni,172,8.07,P,D4,P1,T5,S5
Saliceto,"1,256",24.33,P,D2,P1,T1,S1
Salmour,724,12.70,P,D2,P2,T1,S1
Saluzzo,"17,253",79.93,B,D3,P5,T4,S4
Sambuco,87,46.14,E,D5,P1,T5,S5
Sampeyre,993,98.91,E,D5,P4,T4,S5
San Benedetto Belbo,163,4.85,Q,,,,
San Damiano Macra,408,54.26,E,D4,P1,T4,S3
Sanfrè,"3,042",15.50,P,D1,P1,T1,S1
Sanfront,"2,354",39.71,P,D3,P3,T1,S2
San Michele Mondovì,"1,933",18.11,P,D3,P4,T1,S2
Sant'Albano Stura,"2,365",27.45,P,D1,P1,T1,S1
Santa Vittoria d'Alba,"2,870",10.08,P,D4,P4,T1,S3
Santo Stefano Belbo,"4,027",27.18,B,D4,P4,T4,S4
Santo Stefano Roero,"1,370",13.11,Q,,,,
Savigliano,"21,605",110.79,P,D2,P4,T2,S3
Scagnello,175,9.39,E,D4,P2,T2,S2
Scarnafigi,"2,138",30.50,P,D1,P1,T1,S1
Serralunga d'Alba,575,8.39,B,D5,P5,T5,S5
Serravalle Langhe,298,8.90,P,D4,P1,T5,S4
Sinio,511,8.60,P,D5,P4,T5,S5
Somano,326,11.68,P,D3,P2,T1,S1
Sommariva del Bosco,"6,333",35.42,P,D1,P4,T2,S3
Sommariva Perno,"2,769",17.09,P,D4,P3,T2,S3
Stroppo,103,28.10,E,D5,P4,T5,S5
Tarantasca,"2,157",12.20,Q,,,,
Torre Bormida,171,7.18,P,D5,P2,T4,S4
Torre Mondovì,476,18.54,Q,,,,
Torre San Giorgio,732,5.39,Q,,,,
Torresina,48,3.82,Q,,,,
Treiso,776,9.60,P,D5,P4,T4,S4
Trezzo Tinella,309,10.53,P,D4,P2,T1,S1
Trinità,"2,246",28.34,P,D2,P2,T1,S1
Valdieri,910,153.31,E,D5,P2,T5,S5
Valgrana,777,23.10,E,D2,P3,T5,S5
Valloriate,107,16.96,P,D5,P1,T5,S5
Venasca,"1,388",20.39,P,D2,P3,T4,S3
Verduno,560,7.16,P,D4,P5,T4,S4
Vernante,"1,152",62.06,E,D4,P3,T5,S5
Verzuolo,"6,424",26.13,P,D2,P4,T1,S2
Vezza d'Alba,"2,285",14.07,P,D1,P2,T1,S1
Vicoforte,"3,123",25.74,E,D4,P2,T4,S4
Vignolo,"2,575",7.94,Q,,,,
Villafalletto,"2,904",29.73,P,D1,P1,T4,S2
Villanova Mondovì,"5,794",28.29,P,D3,P4,T1,S3
Villanova Solaro,740,14.79,Q,,,,
Villar San Costanzo,"1,535",19.50,P,D4,P2,T1,S1
Vinadio,605,183.17,L,D5,P4,T4,S5
Viola,359,21.07,Q,,,,
Vottignasco,512,8.09,Q,,,,
Agliano Terme,"1,592",15.45,L,D4,P3,T4,S3
Albugnano,505,9.54,B,D3,P5,T4,S4
Antignano,961,10.86,P,D2,P4,T4,S4
Aramengo,565,11.41,P,D3,P2,T5,S5
Asti,"76,026",151.31,B,D4,P4,T4,S4
Azzano d'Asti,368,6.43,P,D4,P3,T2,S2
Baldichieri d'Asti,"1,135",5.07,P,D3,P4,T2,S3
Belveglio,325,5.28,P,D3,P2,T2,S2
Berzano di San Pietro,415,7.34,Q,,,,
Bruno,311,8.90,P,D2,P3,T1,S2
Bubbio,837,15.76,P,D4,P3,T4,S3
Buttigliera d'Asti,"2,542",19.16,P,D2,P1,T2,S1
Calamandrana,"1,730",12.79,P,D3,P4,T2,S3
Calliano,"1,278",17.29,P,D2,P2,T2,S1
Calosso,"1,244",15.71,B,D4,P3,T4,S3
Camerano Casasco,442,6.89,P,D2,P2,T1,S1
Canelli,"10,411",23.43,B,D3,P4,T2,S3
Cantarana,995,9.72,P,D2,P2,T1,S1
Capriglio,300,5.06,B,D2,P4,T1,S1
Casorzo,618,12.65,P,D3,P2,T1,S1
Cassinasco,607,11.84,P,D2,P2,T5,S4
Castagnole delle Lanze,"3,748",21.56,P,D3,P3,T4,S3
Castagnole Monferrato,"1,189",17.34,P,D2,P2,T5,S5
Castel Boglione,609,11.86,P,D4,P3,T4,S3
Castell'Alfero,"2,671",20.09,P,D3,P3,T1,S2
Castellero,290,4.29,P,D3,P1,T2,S1
Castelletto Molina,156,3.07,P,D5,P3,T5,S5
Castello di Annone,"1,928",23.18,P,D1,P1,T4,S1
Castelnuovo Belbo,847,9.55,P,D2,P4,T5,S4
Castelnuovo Calcea,733,8.20,B,D3,P2,T2,S2
Castelnuovo Don Bosco,"3,167",21.61,B,D4,P4,T4,S4
Castel Rocchero,391,5.63,P,D2,P1,T1,S1
Cellarengo,702,10.85,P,D3,P3,T4,S4
Celle Enomondo,477,5.59,Q,,,,
Cerreto d'Asti,219,3.94,Q,,,,
Cerro Tanaro,607,4.65,Q,,,,
Cessole,388,11.78,P,D5,P4,T5,S5
Chiusano d'Asti,223,2.42,Q,,,,
Cinaglio,443,5.50,P,D2,P2,T1,S1
Cisterna d'Asti,"1,224",10.73,P,D3,P2,T4,S2
Coazzolo,279,4.05,P,D3,P2,T4,S2
Cocconato,"1,444",16.52,B,D4,P3,T4,S4
Corsione,223,5.08,Q,,,,
Cortandone,315,5.02,P,D2,P1,T1,S1
Cortanze,280,4.48,P,D4,P2,T5,S4
Cortazzone,611,10.33,P,D3,P2,T5,S4
Cortiglione,551,8.43,P,D1,P5,T1,S3
Cossombrato,508,5.40,P,D3,P3,T1,S2
Costigliole d'Asti,"5,771",36.94,P,D4,P3,T4,S3
Cunico,483,6.75,P,D3,P2,T5,S4
Dusino San Michele,"1,047",11.93,Q,,,,
Ferrere,"1,556",13.93,P,D1,P2,T1,S1
Fontanile,553,8.13,P,D2,P3,T4,S4
Frinco,748,7.22,Q,,,,
Grana,595,5.89,P,D2,P1,T1,S1
Grazzano Badoglio,609,10.47,P,D3,P3,T4,S3
Incisa Scapaccino,"2,186",20.70,P,D1,P2,T4,S3
Isola d'Asti,"2,030",13.50,P,D4,P3,T2,S3
Loazzolo,330,14.82,P,D3,P2,T5,S4
Maranzana,257,4.37,P,D2,P4,T4,S4
Maretto,378,4.93,P,D2,P2,T5,S4
Moasca,511,4.16,P,D3,P3,T1,S2
Mombaldone,200,11.96,P,D3,P2,T5,S5
Mombaruzzo,"1,067",22.40,P,D4,P5,T2,S3
Mombercelli,"2,149",14.23,P,D2,P2,T1,S1
Monale,"1,004",9.11,P,D1,P2,T1,S1
Monastero Bormida,917,14.21,P,D4,P4,T1,S3
Moncalvo,"2,861",17.42,B,D4,P3,T4,S3
Moncucco Torinese,890,14.33,P,D3,P2,T2,S2
Mongardino,894,6.86,Q,,,,
Montabone,326,8.54,P,D4,P4,T4,S4
Montafia,941,14.50,P,D3,P2,T1,S1
Montaldo Scarampi,747,6.63,Q,,,,
Montechiaro d'Asti,"1,266",10.14,P,D1,P1,T1,S1
Montegrosso d'Asti,"2,306",15.42,P,D2,P3,T2,S2
Montemagno,"1,115",16.10,P,D3,P3,T4,S3
Moransengo,189,5.41,P,D2,P1,T4,S2
Nizza Monferrato,"10,290",30.36,B,D3,P3,T4,S4
Olmo Gentile,74,5.62,E,D4,P2,T5,S5
Passerano Marmorito,433,12.03,P,D3,P2,T1,S1
Penango,467,9.56,P,D5,P5,T5,S5
Piea,579,9.00,Q,,,,
Pino d'Asti,219,4.08,Q,,,,
Piovà Massaia,606,11.02,P,D1,P2,T4,S3
Portacomaro,"2,027",11.00,P,D3,P3,T1,S2
Quaranti,170,2.86,Q,,,,
Refrancore,"1,570",13.20,P,D2,P3,T5,S4
Revigliasco d'Asti,786,8.84,Q,,,,
Roatto,382,6.42,P,D4,P2,T1,S1
Robella,484,12.18,Q,,,,
Rocca d'Arazzo,891,12.56,P,D3,P3,T1,S2
Roccaverano,395,29.98,E,D3,P3,T4,S3
Rocchetta Palafea,346,7.84,P,D2,P3,T4,S3
Rocchetta Tanaro,"1,422",15.91,P,D3,P2,T2,S2
San Damiano d'Asti,"8,305",47.87,P,D2,P3,T2,S2
San Giorgio Scarampi,111,6.15,P,D4,P1,T4,S1
San Martino Alfieri,658,7.21,P,D3,P3,T4,S3
San Marzano Oliveto,"1,016",9.68,P,D4,P3,T1,S2
San Paolo Solbrito,"1,197",11.87,P,D1,P1,T2,S1
Scurzolengo,545,5.34,Q,,,,
Serole,113,12.33,P,D2,P3,T1,S1
Sessame,263,8.45,P,D4,P1,T4,S2
Settime,550,6.68,P,D2,P2,T4,S3
Soglio,146,3.28,P,D4,P4,T4,S4
Tigliole,"1,719",16.12,P,D3,P3,T1,S2
Tonco,809,11.78,P,D3,P4,T4,S4
Tonengo,237,5.60,Q,,,,
Vaglio Serra,287,4.76,B,D4,P3,T4,S3
Valfenera,"2,409",22.04,P,D1,P4,T1,S2
Vesime,608,13.17,P,D4,P2,T4,S2
Viale,243,3.98,P,D3,P1,T5,S3
Viarigi,879,13.62,P,D2,P2,T5,S4
Vigliano d'Asti,793,6.65,P,D2,P2,T4,S2
Villafranca d'Asti,"3,017",12.88,P,D2,P4,T1,S2
Villanova d'Asti,"5,675",41.95,P,D1,P3,T1,S2
Villa San Secondo,381,6.13,P,D2,P3,T1,S1
Vinchio,576,9.29,P,D2,P2,T2,S1
Montiglio Monferrato,"1,604",26.86,P,D1,P3,T4,S3
Acqui Terme,"19,604",33.30,F,D4,P4,T4,S4
Albera Ligure,300,21.23,P,D3,P4,T4,S4
Alessandria,"93,631",203.57,B,D4,P5,T4,S4
Alfiano Natta,779,13.16,P,D4,P4,T5,S5
Alice Bel Colle,746,12.21,P,D2,P5,T2,S4
Altavilla Monferrato,430,11.33,P,D2,P3,T5,S4
Alzano Scrivia,350,2.13,Q,,,,
Arquata Scrivia,"6,368",29.24,P,D1,P3,T4,S2
Avolasca,262,12.24,P,D2,P1,T4,S2
Balzola,"1,347",16.62,P,D1,P1,T1,S1
Basaluzzo,"2,071",15.05,P,D1,P2,T1,S1
Bassignana,"1,674",28.71,Q,,,,
Belforte Monferrato,507,8.33,P,D5,P5,T5,S5
Bergamasco,720,13.44,P,D2,P2,T1,S1
Berzano di Tortona,154,2.89,Q,,,,
Bistagno,"1,794",17.59,P,D3,P4,T2,S3
Borghetto di Borbera,"1,957",39.40,P,D2,P4,T2,S2
Borgoratto Alessandrino,550,6.60,Q,,,,
Borgo San Martino,"1,398",9.72,Q,,,,
Bosco Marengo,"2,360",44.53,P,D1,P1,T1,S1
Bosio,"1,178",67.61,P,D3,P2,T4,S3
Bozzole,334,9.02,P,D3,P2,T5,S4
Brignano-Frascata,437,17.53,Q,,,,
Cabella Ligure,503,46.63,P,D4,P1,T5,S5
Camagna Monferrato,494,9.25,P,D2,P1,T1,S1
Camino,751,18.44,P,D4,P5,T5,S5
Cantalupo Ligure,476,24.06,P,D3,P1,T5,S4
Capriata d'Orba,"1,844",28.47,P,D2,P3,T1,S1
Carbonara Scrivia,"1,127",5.05,P,D2,P2,T1,S1
Carentino,318,9.79,P,D2,P1,T4,S1
Carezzano,440,10.48,P,D3,P2,T1,S1
Carpeneto,948,13.34,P,D4,P3,T1,S2
Carrega Ligure,85,55.26,Q,,,,
Carrosio,500,6.92,P,D1,P3,T1,S2
Cartosio,737,16.34,P,D4,P2,T4,S3
Casal Cermelli,"1,221",12.16,P,D1,P2,T1,S1
Casaleggio Boiro,382,12.01,P,D2,P1,T4,S3
Casale Monferrato,"33,725",86.21,B,D3,P5,T4,S4
Casalnoceto,978,12.99,Q,,,,
Casasco,132,9.04,Q,,,,
Cassine,"2,943",33.09,P,D2,P2,T2,S2
Cassinelle,881,23.77,P,D1,P1,T1,S1
Castellania,89,7.21,P,D5,P4,T5,S5
Castellar Guidobono,398,2.48,Q,,,,
Castellazzo Bormida,"4,526",45.13,P,D4,P3,T1,S2
Castelletto d'Erro,149,4.66,P,D1,P1,T4,S2
Castelletto d'Orba,"1,960",13.98,F,D4,P4,T5,S4
Castelletto Merli,448,11.59,P,D4,P2,T4,S3
Castelletto Monferrato,"1,501",9.58,P,D1,P3,T1,S1
Castelnuovo Bormida,700,13.11,P,D2,P2,T5,S4
Castelnuovo Scrivia,"5,124",45.42,P,D3,P4,T2,S3
Castelspina,420,5.49,Q,,,,
Cavatore,269,10.45,P,D3,P3,T5,S5
Cella Monte,499,5.55,P,D3,P2,T2,S2
Cereseto,403,10.44,P,D4,P3,T4,S3
Cerreto Grue,303,4.75,P,D1,P2,T5,S4
Cerrina Monferrato,"1,357",17.30,P,D1,P1,T1,S1
Coniolo,453,10.30,Q,,,,
Conzano,966,11.61,P,D2,P1,T1,S1
Costa Vescovato,327,7.90,P,D4,P3,T1,S1
Cremolino,"1,068",14.39,P,D3,P4,T4,S3
Cuccaro Monferrato,327,5.22,P,D1,P1,T1,S1
Denice,173,7.46,Q,,,,
Dernice,181,18.28,P,D4,P2,T1,S1
Fabbrica Curone,610,53.85,E,D5,P2,T5,S4
Felizzano,"2,253",25.01,Q,,,,
Fraconalto,317,17.62,P,D3,P1,T5,S5
Francavilla Bisio,505,7.75,P,D3,P2,T4,S3
Frascaro,432,5.29,Q,,,,
Frassinello Monferrato,500,8.43,B,D3,P3,T1,S1
Frassineto Po,"1,381",29.56,P,D1,P2,T1,S1
Fresonara,669,6.93,Q,,,,
Frugarolo,"1,952",27.06,Q,,,,
Fubine Monferrato,"1,604",25.53,P,D4,P3,T1,S2
Gabiano,"1,095",17.77,P,D3,P3,T5,S5
Gamalero,826,12.15,Q,,,,
Garbagna,661,20.72,B,D4,P3,T5,S5
Gavi,"4,495",45.04,B,D4,P4,T4,S4
Giarole,704,5.45,P,D2,P2,T1,S1
Gremiasco,317,17.38,P,D2,P2,T4,S2
Grognardo,241,9.08,P,D4,P1,T5,S3
Grondona,489,25.94,P,D2,P3,T4,S3
Guazzora,303,2.80,Q,,,,
Isola Sant'Antonio,685,23.55,P,D3,P1,T4,S1
Lerma,820,14.54,P,D2,P1,T2,S1
Lu,"1,077",21.88,P,D1,P2,T1,S1
Malvicino,79,9.03,Q,,,,
Masio,"1,364",22.23,P,D1,P1,T1,S1
Melazzo,"1,293",19.74,P,D3,P3,T1,S2
Merana,186,9.20,P,D3,P3,T4,S3
Mirabello Monferrato,"1,309",13.24,Q,,,,
Molare,"2,065",32.50,Q,,,,
Molino dei Torti,587,2.75,Q,,,,
Mombello Monferrato,"1,010",19.69,P,D3,P3,T4,S3
Momperone,210,8.54,P,D4,P1,T1,S1
Moncestino,196,6.52,Q,,,,
Mongiardino Ligure,156,29.03,P,D4,P2,T5,S5
Monleale,566,9.62,P,D2,P2,T2,S2
Montacuto,252,23.75,Q,,,,
Montaldeo,249,5.38,P,D4,P1,T1,S1
Montaldo Bormida,637,5.72,P,D2,P2,T5,S4
Montecastello,312,7.49,Q,,,,
Montechiaro d'Acqui,537,17.60,P,D4,P3,T4,S3
Montegioco,304,5.45,Q,,,,
Montemarzino,301,9.85,P,D1,P1,T5,S5
Morano sul Po,"1,390",17.70,Q,,,,
Morbello,422,23.95,Q,,,,
Mornese,721,13.22,P,D4,P4,T2,S4
Morsasco,629,10.29,P,D2,P2,T5,S5
Murisengo,"1,364",15.31,P,D3,P2,T2,S2
Novi Ligure,"28,286",55.19,P,D3,P4,T4,S4
Occimiano,"1,288",22.46,P,D1,P4,T1,S2
Odalengo Grande,423,15.43,P,D2,P1,T5,S5
Odalengo Piccolo,255,7.57,P,D2,P2,T2,S2
Olivola,113,2.69,P,D4,P1,T5,S5
Orsara Bormida,402,5.10,P,D2,P2,T4,S2
Ottiglio,614,14.54,P,D3,P2,T1,S1
Ovada,"11,299",35.37,P,D2,P4,T4,S4
Oviglio,"1,234",27.37,P,D4,P3,T4,S3
Ozzano Monferrato,"1,402",15.18,P,D2,P2,T5,S4
Paderna,189,4.42,Q,,,,
Pareto,533,41.74,P,D4,P2,T4,S2
Parodi Ligure,650,12.54,P,D1,P2,T1,S1
Pasturana,"1,276",5.28,P,D2,P2,T4,S3
Pecetto di Valenza,"1,204",11.35,Q,,,,
Pietra Marazzi,901,8.00,P,D1,P1,T1,S1
Pomaro Monferrato,355,13.44,Q,,,,
Pontecurone,"3,550",29.70,P,D2,P4,T1,S2
Pontestura,"1,420",18.92,P,D2,P1,T1,S1
Ponti,568,11.97,P,D4,P3,T1,S2
Ponzano Monferrato,337,11.65,P,D4,P2,T4,S3
Ponzone,"1,012",69.03,E,D4,P1,T5,S4
Pozzol Groppo,291,14.09,Q,,,,
Pozzolo Formigaro,"4,669",36.18,P,D1,P4,T1,S3
Prasco,492,5.97,P,D1,P1,T2,S1
Predosa,"1,975",33.01,Q,,,,
Quargnento,"1,409",36.17,P,D2,P3,T1,S1
Quattordio,"1,587",17.73,P,D4,P4,T1,S3
Ricaldone,647,10.52,Q,,,,
Rivalta Bormida,"1,405",10.05,P,D1,P2,T1,S1
Rivarone,408,6.07,Q,,,,
Roccaforte Ligure,124,20.59,P,D4,P1,T4,S2
Rocca Grimalda,"1,474",15.46,P,D4,P3,T5,S4
Rocchetta Ligure,212,10.15,P,D2,P1,T4,S1
Rosignano Monferrato,"1,511",19.28,B,D3,P3,T1,S2
Sala Monferrato,334,7.58,P,D2,P1,T4,S1
Sale,"4,043",44.92,P,D2,P3,T4,S3
San Cristoforo,580,3.57,P,D3,P1,T1,S1
San Giorgio Monferrato,"1,215",7.12,P,D1,P1,T1,S1
San Salvatore Monferrato,"4,212",31.69,P,D1,P4,T2,S3
San Sebastiano Curone,583,3.89,Q,,,,
Sant'Agata Fossili,400,7.71,P,D2,P1,T4,S1
Sardigliano,395,12.74,Q,,,,
Sarezzano,"1,173",13.85,P,D2,P2,T5,S4
Serralunga di Crea,535,8.84,B,D4,P5,T4,S5
Serravalle Scrivia,"6,015",15.95,P,D3,P5,T4,S4
Sezzadio,"1,257",34.32,P,D2,P2,T4,S2
Silvano d'Orba,"1,935",12.17,P,D2,P1,T4,S2
Solero,"1,665",22.55,Q,,,,
Solonghello,212,4.95,P,D3,P5,T1,S3
Spigno Monferrato,"1,007",54.85,P,D5,P2,T1,S2
Spineto Scrivia,367,3.95,P,D3,P2,T5,S5
Stazzano,"2,395",17.91,P,D2,P3,T1,S1
Strevi,"1,950",15.29,P,D2,P2,T1,S1
Tagliolo Monferrato,"1,542",26.21,P,D4,P2,T2,S2
Tassarolo,628,7.03,P,D3,P2,T2,S2
